iri	status	name	description	code	scheme
:LE_5314	im:CM_ActiveStatus	Accident  Emergency		LE_5314	:TermBasedCode
:LE_5315	im:CM_ActiveStatus	Medicine Management		LE_5315	:TermBasedCode
:LE_5316	im:CM_ActiveStatus	Roy.Lond.Hosp.Whitechapel		LE_5316	:TermBasedCode
:LE_5317	im:CM_ActiveStatus	Out Patients		LE_5317	:TermBasedCode
:LE_5318	im:CM_ActiveStatus	Barts  The London Nhs		LE_5318	:TermBasedCode
:LE_5319	im:CM_ActiveStatus	Day Case Waiting List Discharge/end visit (waitinglist)		LE_5319	:TermBasedCode
:LE_532	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. E12 MEDICAL CENTRE. Contact method: Scanned document		LE_532	:TermBasedCode
:LE_5320	im:CM_ActiveStatus	St Leonards Hospital		LE_5320	:TermBasedCode
:LE_5321	im:CM_ActiveStatus	Telephone, Telephone		LE_5321	:TermBasedCode
:LE_5322	im:CM_ActiveStatus	Hospital Care:		LE_5322	:TermBasedCode
:LE_5323	im:CM_ActiveStatus	Pelc Redbridge Ooh, GP Out of Hours Centre		LE_5323	:TermBasedCode
:LE_5324	im:CM_ActiveStatus	Newham Gp Co-Op		LE_5324	:TermBasedCode
:LE_5325	im:CM_ActiveStatus	Royal London Hospital - Whitechapel		LE_5325	:TermBasedCode
:LE_5326	im:CM_ActiveStatus	 Telephone Call		LE_5326	:TermBasedCode
:LE_5327	im:CM_ActiveStatus	* Telephone		LE_5327	:TermBasedCode
:LE_5328	im:CM_ActiveStatus	Admin / Liason / Telephone		LE_5328	:TermBasedCode
:LE_5329	im:CM_ActiveStatus	Admin Telephone Contact with Other Professional		LE_5329	:TermBasedCode
:LE_533	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. EAGLE HOUSE SURGERY. Contact method: Scanned document		LE_533	:TermBasedCode
:LE_5330	im:CM_ActiveStatus	Admin Telephone Contact with Patient		LE_5330	:TermBasedCode
:LE_5331	im:CM_ActiveStatus	Advice		LE_5331	:TermBasedCode
:LE_5332	im:CM_ActiveStatus	Advice -Gp Co-Op		LE_5332	:TermBasedCode
:LE_5333	im:CM_ActiveStatus	Advice Calls (Day)		LE_5333	:TermBasedCode
:LE_5334	im:CM_ActiveStatus	Aecc Telephone		LE_5334	:TermBasedCode
:LE_5335	im:CM_ActiveStatus	Appointment Following Tel Triage		LE_5335	:TermBasedCode
:LE_5336	im:CM_ActiveStatus	Asthma nurse specialist telephone encounter		LE_5336	:TermBasedCode
:LE_5337	im:CM_ActiveStatus	Attempted to Contact Patient by Telephone		LE_5337	:TermBasedCode
:LE_5338	im:CM_ActiveStatus	Barkerend Health Centre, Telephone		LE_5338	:TermBasedCode
:LE_5339	im:CM_ActiveStatus	Barndoc Telephone Advice		LE_5339	:TermBasedCode
:LE_534	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Francis Road Medical Centre. Contact method: Inbound Document		LE_534	:TermBasedCode
:LE_5340	im:CM_ActiveStatus	Barndoc Telephone Consultation		LE_5340	:TermBasedCode
:LE_5341	im:CM_ActiveStatus	Baycall - Telephone		LE_5341	:TermBasedCode
:LE_5342	im:CM_ActiveStatus	Baycall Telephone Triage		LE_5342	:TermBasedCode
:LE_5343	im:CM_ActiveStatus	Bleep Telephone Call		LE_5343	:TermBasedCode
:LE_5344	im:CM_ActiveStatus	Booked Telephone Consultation		LE_5344	:TermBasedCode
:LE_5345	im:CM_ActiveStatus	Camidoc - Day Advice		LE_5345	:TermBasedCode
:LE_5346	im:CM_ActiveStatus	Camidoc - Night Advice		LE_5346	:TermBasedCode
:LE_5347	im:CM_ActiveStatus	Camidoc Day Advice		LE_5347	:TermBasedCode
:LE_5348	im:CM_ActiveStatus	Camidoc Day Telephone		LE_5348	:TermBasedCode
:LE_5349	im:CM_ActiveStatus	Camidoc Telephone Advice		LE_5349	:TermBasedCode
:LE_535	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Francis Road Medical Centre. Contact method: Scanned document		LE_535	:TermBasedCode
:LE_5350	im:CM_ActiveStatus	Clinical nurse specialist telephone encounter		LE_5350	:TermBasedCode
:LE_5351	im:CM_ActiveStatus	Co-Op Telephone Advice Only		LE_5351	:TermBasedCode
:LE_5352	im:CM_ActiveStatus	Co-op telephone call		LE_5352	:TermBasedCode
:LE_5353	im:CM_ActiveStatus	Co-Op Telephone Cons.		LE_5353	:TermBasedCode
:LE_5354	im:CM_ActiveStatus	Co-op Telephone Consultation		LE_5354	:TermBasedCode
:LE_5355	im:CM_ActiveStatus	Co-Op Telephone Contact		LE_5355	:TermBasedCode
:LE_5356	im:CM_ActiveStatus	Co-Op Telephone Encounter		LE_5356	:TermBasedCode
:LE_5357	im:CM_ActiveStatus	Contact method: Telephone Encounter		LE_5357	:TermBasedCode
:LE_5358	im:CM_ActiveStatus	Cooperative Telephone Advice		LE_5358	:TermBasedCode
:LE_5359	im:CM_ActiveStatus	Day Advice		LE_5359	:TermBasedCode
:LE_536	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. GROVELANDS SITE - GROVELANDS  GRENOBLE MED CENT. Contact method: Scanned document		LE_536	:TermBasedCode
:LE_5360	im:CM_ActiveStatus	Dds Advise		LE_5360	:TermBasedCode
:LE_5361	im:CM_ActiveStatus	Dds Telephone Advice		LE_5361	:TermBasedCode
:LE_5362	im:CM_ActiveStatus	Deputising Telephone Advice		LE_5362	:TermBasedCode
:LE_5363	im:CM_ActiveStatus	Did Not Telephone		LE_5363	:TermBasedCode
:LE_5364	im:CM_ActiveStatus	Dms-Telephone Advice		LE_5364	:TermBasedCode
:LE_5365	im:CM_ActiveStatus	Doctor Telephone Advice		LE_5365	:TermBasedCode
:LE_5366	im:CM_ActiveStatus	Doctor Telephoned		LE_5366	:TermBasedCode
:LE_5367	im:CM_ActiveStatus	Dr Co-Op Telephone		LE_5367	:TermBasedCode
:LE_5368	im:CM_ActiveStatus	Dr Telephone Triage		LE_5368	:TermBasedCode
:LE_5369	im:CM_ActiveStatus	Dr-Initiated Telephone Call		LE_5369	:TermBasedCode
:LE_537	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. HAMPTON MEDICAL CENTRE. Contact method: Scanned document		LE_537	:TermBasedCode
:LE_5370	im:CM_ActiveStatus	Duty Doc Telephone		LE_5370	:TermBasedCode
:LE_5371	im:CM_ActiveStatus	Duty Doctor Telephone		LE_5371	:TermBasedCode
:LE_5372	im:CM_ActiveStatus	Duty Telephone Appt		LE_5372	:TermBasedCode
:LE_5373	im:CM_ActiveStatus	Emergency - Telephone		LE_5373	:TermBasedCode
:LE_5374	im:CM_ActiveStatus	Emergency Telephone		LE_5374	:TermBasedCode
:LE_5375	im:CM_ActiveStatus	Evening Telephone		LE_5375	:TermBasedCode
:LE_5376	im:CM_ActiveStatus	Event initial telephone		LE_5376	:TermBasedCode
:LE_5377	im:CM_ActiveStatus	Event Telephone - Clinical		LE_5377	:TermBasedCode
:LE_5378	im:CM_ActiveStatus	Event Telephone - Non-Clinical		LE_5378	:TermBasedCode
:LE_5379	im:CM_ActiveStatus	F.C.M.S. Telephone Advice		LE_5379	:TermBasedCode
:LE_538	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Harrow Road GP Practice. Contact method: Scanned document		LE_538	:TermBasedCode
:LE_5380	im:CM_ActiveStatus	Failed telephone encounter		LE_5380	:TermBasedCode
:LE_5381	im:CM_ActiveStatus	First telephone consultation		LE_5381	:TermBasedCode
:LE_5382	im:CM_ActiveStatus	Follow up telephone consultation		LE_5382	:TermBasedCode
:LE_5383	im:CM_ActiveStatus	G.P. -Telephone Advice		LE_5383	:TermBasedCode
:LE_5384	im:CM_ActiveStatus	Go-To-Doc Telephone Advice		LE_5384	:TermBasedCode
:LE_5385	im:CM_ActiveStatus	Gp Staff Telephone Encounter		LE_5385	:TermBasedCode
:LE_5386	im:CM_ActiveStatus	GP Surgery / Health Centre, Telephone Consultation		LE_5386	:TermBasedCode
:LE_5387	im:CM_ActiveStatus	GP2GP Import, Contact method:  Telephone Call		LE_5387	:TermBasedCode
:LE_5388	im:CM_ActiveStatus	GP2GP Import, Contact method: Booked Telephone Consultation		LE_5388	:TermBasedCode
:LE_5389	im:CM_ActiveStatus	GP2GP Import, Contact method: Eskdoc Telephone Advice		LE_5389	:TermBasedCode
:LE_539	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Havergal Surgery. Contact method: Inbound Document		LE_539	:TermBasedCode
:LE_5390	im:CM_ActiveStatus	GP2GP Import, Contact method: Telephone  - Nurse Triage		LE_5390	:TermBasedCode
:LE_5391	im:CM_ActiveStatus	GP2GP Import, Contact method: Telephone (incoming)		LE_5391	:TermBasedCode
:LE_5392	im:CM_ActiveStatus	GP2GP Import, Contact method: Telephone (outgoing)		LE_5392	:TermBasedCode
:LE_5393	im:CM_ActiveStatus	GP2GP Import, Contact method: Telephone Call		LE_5393	:TermBasedCode
:LE_5394	im:CM_ActiveStatus	GP2GP Import, Contact method: Telephone consultation		LE_5394	:TermBasedCode
:LE_5395	im:CM_ActiveStatus	GP2GP Import, Contact method: Telephone Encounter		LE_5395	:TermBasedCode
:LE_5396	im:CM_ActiveStatus	GP2GP Import, Contact method: Telephone Triage		LE_5396	:TermBasedCode
:LE_5397	im:CM_ActiveStatus	GP2GP Import, Contact method: Telephone Triage Encounter		LE_5397	:TermBasedCode
:LE_5398	im:CM_ActiveStatus	GP2GP Import, F86686. Contact method: Telephone Encounter		LE_5398	:TermBasedCode
:LE_5399	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. ANDOVER MEDICAL CENTRE. Contact method: Telephone call to relative/carer		LE_5399	:TermBasedCode
:LE_54	im:CM_ActiveStatus	Administrative, DNA		LE_54	:TermBasedCode
:LE_540	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. HIGHAM HILL MEDICAL CENTRE. Contact method: Scanned document		LE_540	:TermBasedCode
:LE_5400	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Barking Road Medical Centre. Contact method: Telephone call to relative/carer		LE_5400	:TermBasedCode
:LE_5401	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. BRIXTON HILL GROUP PRACTICE. Contact method: Telephone triage encounter		LE_5401	:TermBasedCode
:LE_5402	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. CITY ROAD MEDICAL CENTRE. Contact method: Telephone triage encounter		LE_5402	:TermBasedCode
:LE_5403	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. LEWISHAM MEDICAL CENTRE. Contact method: Telephone call from relative/carer		LE_5403	:TermBasedCode
:LE_5404	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Main Surgery. Contact method: Telephone encounter		LE_5404	:TermBasedCode
:LE_5405	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Mitchison Road Surgery. Contact method: Telephone call from relative/carer		LE_5405	:TermBasedCode
:LE_5406	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Queenswood Medical Practice. Contact method: Telephone triage encounter		LE_5406	:TermBasedCode
:LE_5407	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Sorsby Medical Practice. Contact method: Telephone call from relative/carer		LE_5407	:TermBasedCode
:LE_5408	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Sorsby Medical Practice. Contact method: Telephone call to relative/carer		LE_5408	:TermBasedCode
:LE_5409	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. St Andrews Health Centre. Contact method: Telephone call from relative/carer		LE_5409	:TermBasedCode
:LE_541	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Highgate Group Practice. Contact method: Scanned document		LE_541	:TermBasedCode
:LE_5410	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. The Mission Practice. Contact method: Telephone call to relative/carer		LE_5410	:TermBasedCode
:LE_5411	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. The Riverside Practice. Contact method: Telephone call to relative/carer		LE_5411	:TermBasedCode
:LE_5412	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Venkat Health Centre. Contact method: Telephone call from relative/carer		LE_5412	:TermBasedCode
:LE_5413	im:CM_ActiveStatus	H/V - Telephone		LE_5413	:TermBasedCode
:LE_5414	im:CM_ActiveStatus	Hacdoc Telephone		LE_5414	:TermBasedCode
:LE_5415	im:CM_ActiveStatus	Healthcall Telephone Advice		LE_5415	:TermBasedCode
:LE_5416	im:CM_ActiveStatus	Home Telephone		LE_5416	:TermBasedCode
:LE_5417	im:CM_ActiveStatus	Honiton Surgery - Seamark, Telephone, Telephone Consultation		LE_5417	:TermBasedCode
:LE_5418	im:CM_ActiveStatus	Ldc Telephone		LE_5418	:TermBasedCode
:LE_5419	im:CM_ActiveStatus	Mandoc Telephone Advice		LE_5419	:TermBasedCode
:LE_542	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. HONOR OAK GROUP PRACTICE. Contact method: Scanned document		LE_542	:TermBasedCode
:LE_5420	im:CM_ActiveStatus	NF Telephone Call/ Consultation		LE_5420	:TermBasedCode
:LE_5421	im:CM_ActiveStatus	Night Advice		LE_5421	:TermBasedCode
:LE_5422	im:CM_ActiveStatus	Non Appt Telephone Consult		LE_5422	:TermBasedCode
:LE_5423	im:CM_ActiveStatus	Normed Telephone		LE_5423	:TermBasedCode
:LE_5424	im:CM_ActiveStatus	Nurse Practitioner - Telephone Call		LE_5424	:TermBasedCode
:LE_5425	im:CM_ActiveStatus	Nurse Practitioner Telephone Advice		LE_5425	:TermBasedCode
:LE_5426	im:CM_ActiveStatus	Nurse telephone triage		LE_5426	:TermBasedCode
:LE_5427	im:CM_ActiveStatus	Nurse Triage Telephone		LE_5427	:TermBasedCode
:LE_5428	im:CM_ActiveStatus	O O H Telephone Advice		LE_5428	:TermBasedCode
:LE_5429	im:CM_ActiveStatus	Office Base, tel cal from pastoral head.		LE_5429	:TermBasedCode
:LE_543	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. James Wigg Group Practice. Contact method: Scanned document		LE_543	:TermBasedCode
:LE_5430	im:CM_ActiveStatus	On Call Telephone Advice		LE_5430	:TermBasedCode
:LE_5431	im:CM_ActiveStatus	Ooh Service Tel Advice		LE_5431	:TermBasedCode
:LE_5432	im:CM_ActiveStatus	Ooh Telephone		LE_5432	:TermBasedCode
:LE_5433	im:CM_ActiveStatus	Ooh Telephone Advice		LE_5433	:TermBasedCode
:LE_5434	im:CM_ActiveStatus	Ooh Telephone Consultation		LE_5434	:TermBasedCode
:LE_5435	im:CM_ActiveStatus	Out Of Hrs Telephone		LE_5435	:TermBasedCode
:LE_5436	im:CM_ActiveStatus	Out-Of-Hours Telephone Advice		LE_5436	:TermBasedCode
:LE_5437	im:CM_ActiveStatus	Outpatient Dermatology Telephone F/Up		LE_5437	:TermBasedCode
:LE_5438	im:CM_ActiveStatus	Outpatient Gastroenterology Telephone New		LE_5438	:TermBasedCode
:LE_5439	im:CM_ActiveStatus	Outpatient Pre-Registration Clinical Oncology Telephone F/Up (outpatient)		LE_5439	:TermBasedCode
:LE_544	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. JS Medical Practice - Park Lane Site. Contact method: Scanned document		LE_544	:TermBasedCode
:LE_5440	im:CM_ActiveStatus	P.P.C.C. Telephone Advice		LE_5440	:TermBasedCode
:LE_5441	im:CM_ActiveStatus	Patient Telephoned		LE_5441	:TermBasedCode
:LE_5442	im:CM_ActiveStatus	Phone		LE_5442	:TermBasedCode
:LE_5443	im:CM_ActiveStatus	Phone-In		LE_5443	:TermBasedCode
:LE_5444	im:CM_ActiveStatus	Php Telephone Encounter		LE_5444	:TermBasedCode
:LE_5445	im:CM_ActiveStatus	Practice Nurse Telephone Triage		LE_5445	:TermBasedCode
:LE_5446	im:CM_ActiveStatus	S/N - Telephone		LE_5446	:TermBasedCode
:LE_5447	im:CM_ActiveStatus	SAAS - Telephone Contact		LE_5447	:TermBasedCode
:LE_5448	im:CM_ActiveStatus	Same Day Telephone Service		LE_5448	:TermBasedCode
:LE_5449	im:CM_ActiveStatus	Sdoc Telephone Advice		LE_5449	:TermBasedCode
:LE_545	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. KIYANI MEDICAL PRACTICE, F86701. Contact method: Scanned document		LE_545	:TermBasedCode
:LE_5450	im:CM_ActiveStatus	Seadoc - Advice		LE_5450	:TermBasedCode
:LE_5451	im:CM_ActiveStatus	Seadoc Telephone Advice		LE_5451	:TermBasedCode
:LE_5452	im:CM_ActiveStatus	Snowdoc Telephone Advice		LE_5452	:TermBasedCode
:LE_5453	im:CM_ActiveStatus	Spa Medical Centre: Telephone		LE_5453	:TermBasedCode
:LE_5454	im:CM_ActiveStatus	Surgery Hours Telephone Contact		LE_5454	:TermBasedCode
:LE_5455	im:CM_ActiveStatus	Surgery, Telephone House, 70 High Street		LE_5455	:TermBasedCode
:LE_5456	im:CM_ActiveStatus	Susdoc Telephone		LE_5456	:TermBasedCode
:LE_5457	im:CM_ActiveStatus	Tarkadoc Telephone		LE_5457	:TermBasedCode
:LE_5458	im:CM_ActiveStatus	Tel Triage		LE_5458	:TermBasedCode
:LE_5459	im:CM_ActiveStatus	Telelphone Triage		LE_5459	:TermBasedCode
:LE_546	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Langthorne Sharma Family Practice. Contact method: Scanned document		LE_546	:TermBasedCode
:LE_5460	im:CM_ActiveStatus	Telephone (Daytime M - F)		LE_5460	:TermBasedCode
:LE_5461	im:CM_ActiveStatus	Telephone (incoming)		LE_5461	:TermBasedCode
:LE_5462	im:CM_ActiveStatus	Telephone (Night Advice)		LE_5462	:TermBasedCode
:LE_5463	im:CM_ActiveStatus	Telephone (Nyed)		LE_5463	:TermBasedCode
:LE_5464	im:CM_ActiveStatus	Telephone (Parent)		LE_5464	:TermBasedCode
:LE_5465	im:CM_ActiveStatus	Telephone (Patient)		LE_5465	:TermBasedCode
:LE_5466	im:CM_ActiveStatus	Telephone (Surgery)		LE_5466	:TermBasedCode
:LE_5467	im:CM_ActiveStatus	Telephone (Third Party)		LE_5467	:TermBasedCode
:LE_5468	im:CM_ActiveStatus	Telephone (Triage)		LE_5468	:TermBasedCode
:LE_5469	im:CM_ActiveStatus	Telephone (Use Sub-Codes)		LE_5469	:TermBasedCode
:LE_547	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. LARKSHALL MEDICAL CENTRE. Contact method: Scanned document		LE_547	:TermBasedCode
:LE_5470	im:CM_ActiveStatus	Telephone (With Other)		LE_5470	:TermBasedCode
:LE_5471	im:CM_ActiveStatus	Telephone - Advice By Locums		LE_5471	:TermBasedCode
:LE_5472	im:CM_ActiveStatus	Telephone - Clinical intervention		LE_5472	:TermBasedCode
:LE_5473	im:CM_ActiveStatus	Telephone - In Hours		LE_5473	:TermBasedCode
:LE_5474	im:CM_ActiveStatus	Telephone - Mon-Fri <10pm		LE_5474	:TermBasedCode
:LE_5475	im:CM_ActiveStatus	Telephone - Nurse Triage		LE_5475	:TermBasedCode
:LE_5476	im:CM_ActiveStatus	Telephone - Parent		LE_5476	:TermBasedCode
:LE_5477	im:CM_ActiveStatus	Telephone - Patient		LE_5477	:TermBasedCode
:LE_5478	im:CM_ActiveStatus	Telephone - Planned		LE_5478	:TermBasedCode
:LE_5479	im:CM_ActiveStatus	Telephone - Relative		LE_5479	:TermBasedCode
:LE_548	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Lawrence House Surgery. Contact method: Scanned document		LE_548	:TermBasedCode
:LE_5480	im:CM_ActiveStatus	Telephone - Triage		LE_5480	:TermBasedCode
:LE_5481	im:CM_ActiveStatus	Telephone - Unplanned		LE_5481	:TermBasedCode
:LE_5482	im:CM_ActiveStatus	Telephone 1st - Unsuccessful		LE_5482	:TermBasedCode
:LE_5483	im:CM_ActiveStatus	Telephone 2nd - Successful		LE_5483	:TermBasedCode
:LE_5484	im:CM_ActiveStatus	Telephone Admin		LE_5484	:TermBasedCode
:LE_5485	im:CM_ActiveStatus	Telephone Advice		LE_5485	:TermBasedCode
:LE_5486	im:CM_ActiveStatus	Telephone Advice (Bardoc)		LE_5486	:TermBasedCode
:LE_5487	im:CM_ActiveStatus	Telephone Advice (Deputising)		LE_5487	:TermBasedCode
:LE_5488	im:CM_ActiveStatus	Telephone Advice (Patient)		LE_5488	:TermBasedCode
:LE_5489	im:CM_ActiveStatus	Telephone Advice - Gp Co-Op		LE_5489	:TermBasedCode
:LE_549	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Leagrave Surgery. Contact method: Inbound document		LE_549	:TermBasedCode
:LE_5490	im:CM_ActiveStatus	Telephone Advice - Nesdoc		LE_5490	:TermBasedCode
:LE_5491	im:CM_ActiveStatus	Telephone Advice By G.P		LE_5491	:TermBasedCode
:LE_5492	im:CM_ActiveStatus	Telephone Advice By G.P.		LE_5492	:TermBasedCode
:LE_5493	im:CM_ActiveStatus	Telephone Advice By Meds		LE_5493	:TermBasedCode
:LE_5494	im:CM_ActiveStatus	Telephone Advice By Nesdoc		LE_5494	:TermBasedCode
:LE_5495	im:CM_ActiveStatus	Telephone Advice By Triage Nurse		LE_5495	:TermBasedCode
:LE_5496	im:CM_ActiveStatus	Telephone Advice Daytime		LE_5496	:TermBasedCode
:LE_5497	im:CM_ActiveStatus	Telephone Advice From Co-Op		LE_5497	:TermBasedCode
:LE_5498	im:CM_ActiveStatus	Telephone Advice From G.P.		LE_5498	:TermBasedCode
:LE_5499	im:CM_ActiveStatus	Telephone Advice From Practice Nurse		LE_5499	:TermBasedCode
:LE_55	im:CM_ActiveStatus	Place Not Specified		LE_55	:TermBasedCode
:LE_550	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. LEEDS STUDENT MEDICAL PRACTICE. Contact method: Scanned document		LE_550	:TermBasedCode
:LE_5500	im:CM_ActiveStatus	Telephone Advice G.P.		LE_5500	:TermBasedCode
:LE_5501	im:CM_ActiveStatus	Telephone Advice Given		LE_5501	:TermBasedCode
:LE_5502	im:CM_ActiveStatus	Telephone Advice Ppcc		LE_5502	:TermBasedCode
:LE_5503	im:CM_ActiveStatus	Telephone Advice Sas		LE_5503	:TermBasedCode
:LE_5504	im:CM_ActiveStatus	Telephone Advice Whilst On Call		LE_5504	:TermBasedCode
:LE_5505	im:CM_ActiveStatus	Telephone Advise (Ooh Provider)		LE_5505	:TermBasedCode
:LE_5506	im:CM_ActiveStatus	Telephone Appt		LE_5506	:TermBasedCode
:LE_5507	im:CM_ActiveStatus	Telephone Appt Only		LE_5507	:TermBasedCode
:LE_5508	im:CM_ActiveStatus	Telephone call from patient		LE_5508	:TermBasedCode
:LE_5509	im:CM_ActiveStatus	Telephone call to patient		LE_5509	:TermBasedCode
:LE_551	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Leyton Green Neighbourhood Health Serv. Contact method: Inbound Document		LE_551	:TermBasedCode
